,Date,Ticker,Position,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Close,Dividends,High,Low,Open,Stock Splits,Volume,Daily Return,1-week MA Daily Return,Rolling Cumulative Volume,Daily P&L,Cumulative Daily P&L,Cumulative Daily Portfolio P&L,Yield
1,2018-01-29,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,234.61614990234375,0.0,237.66786115975398,234.57948473139453,236.90723365837667,0.0,2306300.0,1.9261996791340044,0.3377145849706453,16433153028200.0,67416.98876969016,716095.4824754014,56091.07827429236,1.9261996791340046
2,2018-01-29,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,82.38561248779297,0.0,82.81430435596458,81.8616492994221,82.01407032901463,0.0,2303300.0,0.16188518019664938,0.19336726756236994,16433948553200.0,3561.4739643262865,13562.236540303657,56091.07827429236,0.16188518019664938
0,2018-01-30,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,59.6637077331543,0.0,60.31347295350633,59.520379421216205,59.663707733154304,0.0,6497600.0,-0.7461766853023053,0.2910886554181859,16434171421500.0,-14923.533706046106,-193955.2478209621,54539.40055490269,-0.7461766853023053
1,2018-01-30,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,230.51968383789062,0.0,234.3228913751897,230.40055698795862,234.2404157136216,0.0,2412600.0,1.8955361020634953,0.3306478608391929,16435524590100.0,66343.76357222233,782439.2460476237,54539.40055490269,1.8955361020634953
2,2018-01-30,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,80.5850830078125,0.0,81.43295264502854,80.37550501296337,80.97567504676488,0.0,1779600.0,0.14178048585120276,0.18769432816690326,16436387740500.0,3119.170688726461,16681.40722903012,54539.40055490269,0.14178048585120276
0,2018-01-31,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,59.396156311035156,0.0,59.96947682652358,59.09993864581913,59.87392462230316,0.0,7804400.0,-0.7472503986764462,0.2897525744111085,16436562609100.0,-14945.007973528924,-208900.25579449104,54646.35038247271,-0.7472503986764462
1,2018-01-31,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,229.5666046142578,0.0,231.9768293290929,228.74182001150544,230.47387886421845,0.0,3136400.0,1.891160327536841,0.32406969769282623,16438205112800.0,66190.61146378944,848629.8575114132,54646.35038247271,1.891160327536841
2,2018-01-31,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,80.5850830078125,0.0,81.02331070406473,80.26118379635226,80.61366876310092,0.0,2132100.0,0.1545794041914636,0.1660044635761361,16439191213300.0,3400.7468922121993,20082.154121242318,54646.35038247271,0.1545794041914636
0,2018-02-01,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,59.41526794433594,0.0,59.759261714345335,58.918388459331595,59.00438690183394,0.0,8101600.0,-0.7652776565471072,0.33514891572133376,16439416844000.0,-15305.553130942144,-224205.80892543317,50397.38955459755,-0.7652776565471072
1,2018-02-01,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,227.2205047607422,0.0,229.1908310234724,225.60757298938088,226.76228804999897,0.0,2665500.0,1.810134441299558,0.31066615342032405,16440734585100.0,63354.70544548453,911984.5629568977,50397.38955459755,1.810134441299558
2,2018-02-01,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,80.00396728515625,0.0,80.47076618365352,79.49905404763648,80.25165234335773,0.0,1685300.0,0.10673805636614384,0.19151267393772162,16441689308200.0,2348.2372400551644,22430.391361297483,50397.38955459755,0.10673805636614384
0,2018-02-02,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,58.947059631347656,0.0,59.64460100766455,58.899283523807696,59.43438540547203,0.0,12346500.0,-0.7625017713290301,0.35490278611164483,16442074000500.0,-15250.035426580602,-239455.84435201378,49116.44416283132,-0.7625017713290301
1,2018-02-02,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,224.6820068359375,0.0,227.96284055084996,224.41624726509323,225.83670804943213,0.0,3925700.0,1.7905513518143807,0.31537480907685433,16443602899200.0,62669.297313503324,974653.860270401,49116.44416283132,1.7905513518143807
2,2018-02-02,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,78.7178726196289,0.0,80.58507537158985,78.53687312903881,79.92774842586135,0.0,3161400.0,0.07714464890493643,0.2070355478881094,16444535554300.0,1697.1822759086015,24127.573637206086,49116.44416283132,0.07714464890493643
